stop_id,stop_name,stop_lat,stop_lon,location_type
1422,"DONADO&&GARCIA DEL RIO",-34.5559293459,-58.4880498462,0
1426,"BALBIN, RICARDO, DR. AV.&&LARRALDE, CRISOLOGO AV.",-34.5560514909,-58.4809923377,0
1431,"JARAMILLO&&TRONADOR",-34.556128448,-58.4842141445,0
1440,"HOLMBERG&&MANZANARES",-34.556256469,-58.4866033272,0
1447,"GARCIA DEL RIO&&MACHAIN",-34.5563969713,-58.4890281013,0
1453,"MELIAN AV.&&NUÑEZ",-34.5564639088,-58.4788169204,0
1458,"LA PAMPA&&LUGONES, LEOPOLDO AV.",-34.5518582562,-58.4323342599,0
1459,"DE LOS OMBUES AV.&&LUGONES, LEOPOLDO AV.",-34.5565775315,-58.4244884951,0
1468,"DONADO&&MANZANARES",-34.5566955965,-58.4875194317,0
1472,"BALBIN, RICARDO, DR. AV.&&NUÑEZ",-34.5567649729,-58.4793543427,0
1474,"FREIRE, RAMON, CAP. GRAL.&&TAMBORINI, JOSE PASCUAL",-34.5568096753,-58.4727820153,0
1491,"CUBA&&MONROE",-34.5571542325,-58.4580098146,0
1496,"LARRALDE, CRISOLOGO AV.&&TRONADOR",-34.5572264962,-58.4834048327,0
1508,"NAON, ROMULO&&NUÑEZ",-34.5574787585,-58.4806283206,0
1509,"DONADO&&JARAMILLO",-34.5574846651,-58.4869733516,0
1510,"CONDE&&TAMBORINI, JOSE PASCUAL",-34.5575016922,-58.4741216487,0
1515,"ARTILLEROS&&LA PAMPA",-34.5576051692,-58.4419649859,0
1516,"ACHA, MARIANO, GRAL.&&MANZANARES",-34.5576054351,-58.4894265013,0
1517,"BALBIN, RICARDO, DR. AV.&&PEDRAZA, MANUELA",-34.5576265766,-58.4773578986,0
1522,"11 DE SEPTIEMBRE DE 1888&&MENDOZA",-34.5578132054,-58.4520017147,0
1539,"HOLMBERG&&LARRALDE, CRISOLOGO AV.",-34.5581302749,-58.4852966312,0
1546,"BELLO, ANDRES&&BUNGE, INT.",-34.5582613276,-58.4311173649,0
1551,"ECHEVERRIA&&MONTAÑESES",-34.5583551147,-58.4480727399,0
1553,"ACHA, MARIANO, GRAL.&&JARAMILLO",-34.5583944425,-58.4888766879,0
1554,"FREIRE, RAMON, CAP. GRAL.&&QUESADA",-34.558416389,-58.4709548774,0
1559,"NUÑEZ&&TRONADOR",-34.5584950591,-58.4824463195,0
1564,"DONADO&&LARRALDE, CRISOLOGO AV.",-34.5585724388,-58.4862203261,0
1578,"BALBIN, RICARDO, DR. AV.&&IBERA",-34.5589138184,-58.4743245089,0
1579,"LA PAMPA&&MIGUELETES",-34.5589252871,-58.4441989523,0
1580,"CONGRESO AV.&&ZAPIOLA",-34.5589291043,-58.4691846252,0
1585,"FLOR DEL AIRE&&GALVAN",-34.5590086792,-58.4935106256,0
1601,"AMENABAR&&MONROE",-34.559393754,-58.4617786766,0
1602,"CONGRESO AV.&&FREIRE, RAMON, CAP. GRAL.",-34.5594050532,-58.4701011813,0
1607,"BALBIN, RICARDO, DR. AV.&&QUESADA",-34.5594795809,-58.4729536716,0
1609,"HOLMBERG&&NUÑEZ",-34.5594844157,-58.4843499049,0
1617,"ECHEVERRIA&&VERTIZ VIRREY AV.",-34.5591470512,-58.4493993232,0
1621,"BALBIN, RICARDO, DR. AV.&&CONDE",-34.559765414,-58.4722705872,0
1632,"DONADO&&NUÑEZ",-34.5599398919,-58.4853007679,0
1649,"ARCOS&&JURAMENTO AV.",-34.5603857427,-58.453837498,0
1652,"LA PAMPA&&VERTIZ VIRREY AV.",-34.5604005437,-58.4466935236,0
1655,"MONROE&&VIDAL",-34.5604574488,-58.4635705252,0
1663,"ACHIRA&&GALVAN",-34.5607080856,-58.4923387334,0
1673,"HOLMBERG&&PEDRAZA, MANUELA",-34.5608645383,-58.4833850227,0
1674,"BLANCO ENCALADA&&MOLDES",-34.5608661821,-58.4618688821,0
1675,"DORREGO AV.&&LUGONES, LEOPOLDO AV.",-34.5623408476,-58.4168012543,0
1676,"CUBA&&JURAMENTO AV.",-34.5609244834,-58.4547426546,0
1696,"CONGRESO AV.&&PEREZ, ROQUE",-34.561337297,-58.4738183333,0
1706,"CONESA&&MONROE",-34.5616018206,-58.4654985372,0
1728,"CAMPOS, LUIS M. AV.&&PINO, VIRREY DEL",-34.5620110542,-58.4446213229,0
1770,"GALVAN&&NUÑEZ",-34.5626512581,-58.490990748,0
1777,"CONGRESO AV.&&NAON, ROMULO",-34.562792324,-58.4767377681,0
1778,"CAMPOS, LUIS M. AV.&&LORETO, VIRREY",-34.5628269736,-58.4436358831,0
1784,"FREIRE, RAMON, CAP. GRAL.&&MONROE AV.",-34.5629682754,-58.4675409385,0
1788,"HOLMBERG&&IBERA",-34.5629799744,-58.4822678145,0
1819,"LARRALDE, CRISOLOGO AV.&&TRIUNVIRATO AV.",-34.563536357,-58.4965923459,0
1844,"GARCIA, TEODORO&&SOLDADO DE LA INDEPENDENCIA",-34.5639002729,-58.4406006515,0
1866,"CAMPOS, LUIS M. AV.&&ZABALA",-34.5636265418,-58.4426233576,0
1893,"ANDONAEGUI&&LARRALDE, CRISOLOGO AV.",-34.5647213911,-58.4990519312,0
1898,"ANDONAEGUI&&LARRALDE, CRISOLOGO AV.",-34.5647632679,-58.4991388656,0
1903,"BUCARELLI&&ISLANDIA",-34.5648479718,-58.4974764208,0
1905,"NUÑEZ&&TRIUNVIRATO AV.",-34.5648612912,-58.4956327056,0
1921,"DIAZ COLODRERO&&PEDRAZA, MANUELA",-34.5650878242,-58.4923555789,0
1924,"HOLMBERG&&LE BRETON, TOMAS A.",-34.5651361842,-58.4805973042,0
1945,"PIRAN&&TRIUNVIRATO AV.",-34.5654752228,-58.4951926535,0
1947,"BUCARELLI&&NUÑEZ",-34.565493975,-58.4969565439,0
1949,"DORREGO AV.&&FIGUEROA ALCORTA, PRES. AV.",-34.565529749,-58.4198297945,0
1960,"CRAMER AV.&&ECHEVERRIA",-34.5657014034,-58.4604891871,0
1962,"DEL LIBERTADOR AV.&&MAURE",-34.5648886342,-58.434411343,0
1965,"ACHA, MARIANO, GRAL.&&CONGRESO AV.",-34.5658613662,-58.4827650312,0
1968,"BURELA&&LARRALDE, CRISOLOGO AV.",-34.5658721022,-58.5014369967,0
1978,"ANDONAEGUI&&NUÑEZ",-34.5660446494,-58.4981089159,0
2020,"FIGUEROA ALCORTA, PRES. AV.&&ROLDAN, BELISARIO AV.",-34.5667387425,-58.4179608006,0
2022,"AMENABAR&&HERNANDEZ, JOSE",-34.5667850785,-58.4554341678,0
2030,"BEETHOVEN&&NUÑEZ",-34.5668673327,-58.4998304351,0
2031,"BUCARELLI&&PEDRAZA, MANUELA",-34.5668849417,-58.495836526,0
2033,"MENDOZA&&SUPERI",-34.5669160413,-58.4673741119,0
2039,"CIUDAD DE LA PAZ&&PINO, VIRREY DEL",-34.5670032826,-58.4538767601,0
2043,"DIAZ COLODRERO&&IBERA",-34.5670730091,-58.4908269741,0
2045,"DEL LIBERTADOR AV.&&MATIENZO, BENJAMIN, TENIENTE",-34.5661701019,-58.432247231,0
2047,"BURELA&&NUÑEZ",-34.5671431503,-58.5004075749,0
2052,"ESTOMBA&&MONROE",-34.567197383,-58.4742689046,0
2055,"MELIAN AV.&&OLAZABAL AV.",-34.5669236202,-58.4696519614,0
2058,"TAMBORINI, JOSE PASCUAL&&TRIUNVIRATO AV.",-34.5672804004,-58.4938201745,0
